Quality	#1 String	#2 String
1	I think science fiction is an amazing genre for anything. Future science, technology, time travel, FTL travel, they're all such interesting concepts.	I'm a huge fan of science fiction myself!
1	I'm a huge fan of science fiction myself!	Awesome! I really love how sci-fi storytellers focus on political/social/philosophical issues that would still be around even in the future. Makes them relatable.
1	Awesome! I really love how sci-fi storytellers focus on political/social/philosophical issues that would still be around even in the future. Makes them relatable.	I agree. One of my favorite forms of science fiction is anything related to time travel! I find it fascinating.
1	I agree. One of my favorite forms of science fiction is anything related to time travel! I find it fascinating.	It's not quite sci-fi, but my favorite version of time travel is in Harry Potter and the Prisoner of Azkaban. Breaks zero logical rules.
1	It's not quite sci-fi, but my favorite version of time travel is in Harry Potter and the Prisoner of Azkaban. Breaks zero logical rules.	And that's difficult to do when dealing with time travel. I actually haven't seen the latest Harry Potter movies. Guess it's time to check them out!
1	And that's difficult to do when dealing with time travel. I actually haven't seen the latest Harry Potter movies. Guess it's time to check them out!	If you really want a look at the potential negative consequences of scientific innovation, what you should check out is the TV show Fringe. Incredibly well written.
1	If you really want a look at the potential negative consequences of scientific innovation, what you should check out is the TV show Fringe. Incredibly well written.	Thank you for the suggestion, I will definitely check it out!
1	Thank you for the suggestion, I will definitely check it out!	It blends science fiction and paranormal/psychological/MK Ultra type stuff together, but it's science fiction at its core.
1	It blends science fiction and paranormal/psychological/MK Ultra type stuff together, but it's science fiction at its core.	Always looking for more science fiction to digest!
0	Always looking for more science fiction to digest!	Can you imagine the world without internet access?
